_id,name,firstName,lastName,email,password,phone,role,city,state,status,organizationName,organizationType,vehicleType,createdAt
dcd7eb943cd8b76bdbbcc6f3,Rajesh Kumar,Rajesh,Kumar,admin@foodbridge.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9845012345,admin,Bangalore,Karnataka,active,FoodBridge Admin,other,,2025-12-12T02:12:03.379Z
78dcc604dcd338ad16d3fe4d,Ananya Verma,Ananya,Verma,ananya.verma0@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8424117279,donor,Bangalore,Karnataka,active,Vidyarthi Bhavan,corporate,,2025-11-15T01:25:08.049Z
501cba39e4acdecc5ea6326e,Vikram Gowda,Vikram,Gowda,vikram.gowda1@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9544953393,donor,Mysore,Karnataka,active,Lemon Tree Hotel,corporate,,2025-12-10T16:40:33.098Z
fc5efcd352f6821eb1dd2114,Priya Shenoy,Priya,Shenoy,priya.shenoy2@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9499911314,donor,Hubli,Karnataka,active,Mavalli Tiffin Rooms,caterer,,2025-10-22T17:14:48.444Z
8e8edcb7bb4f7522587cd2e1,Suresh Acharya,Suresh,Acharya,suresh.acharya3@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9605306746,donor,Mangalore,Karnataka,active,Hotel Janardhan,corporate,,2025-12-10T02:14:40.637Z
75953b5bd3862a4fcb048d40,Deepa Rao,Deepa,Rao,deepa.rao4@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9852800899,donor,Belgaum,Karnataka,active,Hotel Janardhan,caterer,,2026-01-03T18:56:10.650Z
d94252af0a6a69796c98aae0,Karthik Iyer,Karthik,Iyer,karthik.iyer5@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8957254516,donor,Davanagere,Karnataka,active,Toit Brewpub,hotel,,2025-11-19T05:03:25.157Z
897f514915aaf0ef76cbb30a,Meenakshi Reddy,Meenakshi,Reddy,meenakshi.reddy6@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8544975863,donor,Shimoga,Karnataka,active,MTR Foods,caterer,,2026-01-04T21:05:10.705Z
6f11ced354c71808edde80c0,Abdul Ballal,Abdul,Ballal,abdul.ballal7@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9821656333,donor,Udupi,Karnataka,active,Sangam Hotel,hotel,,2025-10-21T20:34:06.640Z
04e7bb4a059b6d89918736d6,Lakshmi Rasheed,Lakshmi,Rasheed,lakshmi.rasheed8@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9952066987,donor,Gulbarga,Karnataka,active,Toit Brewpub,restaurant,,2025-11-18T16:10:55.574Z
e1ceadb212b5fc7435fd7dd5,Naveen Acharya,Naveen,Acharya,naveen.acharya9@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9047214085,donor,Raichur,Karnataka,active,Hotel Dwarka,corporate,,2025-12-18T13:47:50.322Z
789a768914cc74e6a1f45fe8,Amit Kudva,Amit,Kudva,amit.kudva10@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8586209770,donor,Bangalore,Karnataka,active,Lemon Tree Hotel,caterer,,2025-10-20T16:26:16.955Z
f40f10e098bf313a2e55890b,Sneha Sharma,Sneha,Sharma,sneha.sharma11@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8974472184,donor,Mysore,Karnataka,active,MTR Foods,hotel,,2025-10-13T07:38:39.498Z
99d72b95973177025cfd242b,Rahul Mallya,Rahul,Mallya,rahul.mallya12@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9524199745,donor,Hubli,Karnataka,active,Kamat Yatrinivas,restaurant,,2025-11-26T12:47:03.470Z
cba19fd1f22bc5c1489edff6,Divya Swamy,Divya,Swamy,divya.swamy13@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 7919683545,donor,Mangalore,Karnataka,active,Hotel Janardhan,restaurant,,2025-11-02T04:54:33.030Z
e79efed725701e061c43823e,Manoj Shetty,Manoj,Shetty,manoj.shetty14@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 7231564421,donor,Belgaum,Karnataka,active,MTR Foods,restaurant,,2025-10-07T10:40:47.430Z
a28b2fee2d8a1d7f5413c88d,Arun Kamath,Arun,Kamath,arun.kamath15@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 7203699783,donor,Davanagere,Karnataka,active,Brahmin's Coffee Bar,corporate,,2025-12-17T16:27:54.275Z
a16b86b8cddd488059b1661c,Kavita Shetty,Kavita,Shetty,kavita.shetty16@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8448407629,donor,Shimoga,Karnataka,active,Green Park Hotel,hotel,,2025-11-15T11:43:03.961Z
fc6633a41b26441112e84894,Sanjay Devi,Sanjay,Devi,sanjay.devi17@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9567804404,donor,Udupi,Karnataka,active,Green Park Hotel,restaurant,,2025-10-11T14:43:56.411Z
e51757ad6c32b5febfbe49ff,Pooja Reddy,Pooja,Reddy,pooja.reddy18@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 7952869462,donor,Gulbarga,Karnataka,active,Citrus Hotel,caterer,,2025-11-27T12:35:28.603Z
daa97ec3227390a8cdf91f87,Ramesh Reddy,Ramesh,Reddy,ramesh.reddy19@gmail.com,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9800854962,donor,Raichur,Karnataka,active,Koshy's Restaurant,corporate,,2025-11-20T23:31:54.386Z
c2d7bfd84f7dcfdefde59f01,Nisha Gowda,Nisha,Gowda,nisha@akshayapatrafoundation.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8413335973,ngo,Bangalore,Karnataka,active,Akshaya Patra Foundation,ngo,,2025-10-24T22:36:20.716Z
bc06576f75cccafbef4fc17f,Ganesh Sharma,Ganesh,Sharma,ganesh@feedingindia.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9809111678,ngo,Mysore,Karnataka,active,Feeding India,ngo,,2025-12-30T09:31:39.680Z
c773c75663c588ad7ab910b9,Swathi Reddy,Swathi,Reddy,swathi@robinhoodarmykarnataka.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8923017358,ngo,Hubli,Karnataka,active,Robin Hood Army Karnataka,ngo,,2025-11-19T01:32:57.280Z
6802704c9cfdca5055660608,Harish Pai,Harish,Pai,harish@annapoornatrust.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 8131093622,ngo,Mangalore,Karnataka,active,Annapoorna Trust,ngo,,2025-12-27T22:37:19.895Z
6824fda0d2144bf0d3240bd4,Meera Patel,Meera,Patel,meera@adamyachetana.org,$2b$12$FtA3iiAD1KlpTgbftVdabeUoNxRfjKKBd5gfDPTjDBAyigqzG5hgS,+91 9952814248,ngo,Belgaum,Karnataka,active,Adamya Chetana,ngo,,2025-10-24T23:38:37.792Z
