_id,userId,name,email,phone,vehicleType,city,isAvailable,completedPickups,rating,createdAt
70307d280d413233af63bab2,adc61879d888fdcddfd1c29e,Ravi Rao,ravi.rao0@gmail.com,+91 9299569761,motorcycle,Bangalore,true,17,4.1,2026-01-25T23:49:20.079Z
0ad6c5c5f0bef674914f59b9,daadf8ce8978a2285c7d0790,Bhavna Iyer,bhavna.iyer1@gmail.com,+91 9226526922,auto-rickshaw,Mysore,true,14,4.1,2025-11-19T06:42:29.515Z
caf9af93c263b67d4ab7d8b4,971fcc88a9e93eb6f9197b62,Kishore Naidu,kishore.naidu2@gmail.com,+91 7176490148,bicycle,Hubli,true,55,4.2,2025-12-03T22:28:54.780Z
fa38451a531ac12c5ae86eca,f39098d8a8e5624b73c72da0,Padma Swamy,padma.swamy3@gmail.com,+91 8147265083,bicycle,Mangalore,true,21,5.0,2025-12-23T14:55:50.105Z
1a9b49aebc2893101903f7ad,42c44e7a405aa5347cbb400c,Santosh Shenoy,santosh.shenoy4@gmail.com,+91 8502581408,bicycle,Belgaum,true,33,4.8,2026-01-30T09:56:41.706Z
d03f609d890142902184600b,04153986e3940efd1dd085af,Suma Kumar,suma.kumar5@gmail.com,+91 7468354890,motorcycle,Davanagere,true,22,4.0,2025-12-24T04:17:27.436Z
146bb27531c93e4e8bf5f3b8,bf1fe175a0ef9f56b715e988,Venkat Kudva,venkat.kudva6@gmail.com,+91 9402924874,auto-rickshaw,Shimoga,true,37,4.3,2025-11-18T12:49:53.124Z
b51f2162255bdd1becfdebb3,6dd6f81fe0369535baedf4b6,Lata Naidu,lata.naidu7@gmail.com,+91 9900307246,motorcycle,Udupi,true,33,4.1,2025-11-07T05:26:40.990Z
b41725bf602dedac7d6aa694,39d85ae3b91cb2f4662da4fd,Mahesh Pai,mahesh.pai8@gmail.com,+91 7353545496,motorcycle,Gulbarga,true,19,4.6,2025-12-26T17:59:02.383Z
f1f0426549e07b98f7b6e84f,d966c10ae11aed045169ab41,Usha Patel,usha.patel9@gmail.com,+91 8151140772,motorcycle,Raichur,true,25,4.8,2025-11-28T19:38:19.971Z
51180cf66137b76b24ad4684,6fc8a94356af32897a611d62,Praveen Bhat,praveen.bhat10@gmail.com,+91 9840349740,bicycle,Bangalore,true,35,4.4,2026-01-13T01:37:19.838Z
9423fe8ba211cf41116593cd,7497e297dd56bf0fb95d3daf,Savita Gowda,savita.gowda11@gmail.com,+91 8298102629,car,Mysore,true,13,4.3,2026-01-03T04:30:40.332Z
81ae8a76e973b3000abc17a9,5154aa39e76765fa519a8367,Girish Verma,girish.verma12@gmail.com,+91 7981417340,van,Hubli,true,19,4.9,2025-12-28T18:18:02.036Z
aea4f07035aac85a3bc6ce02,f83839f2aa075ba75f8bbcae,Jyothi Kulkarni,jyothi.kulkarni13@gmail.com,+91 8543800193,motorcycle,Mangalore,true,34,4.4,2026-01-15T06:02:24.929Z
bf54adc00c4978cda06880e5,89673d26f66ce9bad82a5d08,Ashok Kumar,ashok.kumar14@gmail.com,+91 9119310926,van,Belgaum,true,29,4.7,2025-12-09T23:57:21.167Z
90665904114ef68333f29576,f22439cd039f37f72017869c,Mangala Kumar,mangala.kumar15@gmail.com,+91 9647157665,auto-rickshaw,Davanagere,true,52,4.7,2025-12-03T13:34:20.833Z
